author,updated_at,like_count,text,public
@SilverStrum,2024-02-27T01:35:46Z,6,i had no idea about any of this and it blew me away. i felt so much joy seeing nakamura sitting at the desk looking lovingly at his blue led. imagine grinding your life away on something like that when most of the world including your boss thinks its a giant waste of time and you have to believe in no one but yourself. i literally had tears welling up in my eyes when he said his favorite color was always blue because of the fishing village he grew up in by the ocean. they should make a movie about this guy.,True
@Ladida451,2024-02-27T00:05:53Z,2,"you are a master at this, sir. i don't think you need anyone to tell you that. but beautifully done. you made me care about a blue led, something i didn't even know had a different journey than other leds. you've done mr. nakamura a service by bringing his story, his brilliance, and his determination to the eyes and ears of people who probably wouldn't know about him and the blue led saga otherwise.",True
@SKRUBL0RD,2024-02-26T20:11:49Z,2,"1 man changed the world and didn't get fairly compensated, a never ending story of how evil most capitalism is",True
@chintanagrawal3028,2024-02-26T13:29:42Z,3,"that paradoxical sense of feeling empowered and at the same time being ashamed of crying for trivial things in life while someone with a more brutal struggle shines like a star. thanks, veritasium for bringing this incredible journey of dr. nakamura. truly inspirational",True
@joelspaulding5964,2024-02-26T08:30:48Z,2,"came from a 10 years past episode involving ""the most round object""  the quality and information has always been tops, but this episode engaged like none before.  could truly grasp the genius, tenaciousness and passion required to break out of rhe box.  perhaps my favorite vid of yours, ever.",True
@parkerbenz,2024-02-26T05:17:35Z,15,"i would love nothing more in this world than to see a video about how shuji created the white led. i watched this video as soon as it came out, and i have been telling everyone i know about it. the visuals in this are absolutely incredible. one of the best veritasium videos to date, and that says a lot!",True
@dxconnor,2024-02-26T04:12:22Z,4,i went from 0% knowledge on this to feeling like i truly understand it. great video!!,True
@nickhughes6883,2024-02-26T02:03:18Z,2,"we need more nakamura in the world, thank you for your great mind, determination, and gift to the world.",True
@Kyojinsei,2024-02-26T01:42:09Z,114,one of the coolest aspects about this video about making this substance. he built his reactor from the ground up he knew every component in it and he even wrote the paper to prove that he knew what he was doing. start from the ground up if you wanna really learn how its done. and lead the way and never give up! nakamura is a bad ass,True
@Raziel_SSJ,2024-02-25T23:54:30Z,2,"as mentioned by others as well, your analogies and explanations are so easy to understand and your illustrations speaks so much (are so telling) that this is a delight. thank you so much derek for your precious videos and this wonderful tribute gave back to this man. 29:34",True
@anonymone453,2024-02-25T22:33:53Z,3,"invented by a scientist, stolen by capitalists. a tale as old as time.",True
@in2livinit,2024-02-25T21:26:28Z,3,"outstanding presentation !!! mr. nakamura is an underdog who never gave up. quite a feat as japanese culture emphasized deferring to management, not individual innovation. he changed the world with a very basic commodity but complicated device design through dogged research. bravo !!!",True
@tinytonymaloney7832,2024-02-25T20:27:27Z,2,"good video but sick of the constant interruptions for adverts, never saw it to the end, got fed up with breaks",True
@MrGagi67,2024-02-25T17:48:37Z,2,"sir, i am cancer survivor unemployed nurse with two children, but your wonderful achievement for creating this amazing educational program, that drew me to send you 9$ for thanks. please accept my warmest regards and gratitudefor your efforts in this program.",True
@girishchandrashekar7573,2024-02-25T10:19:47Z,143,"thank you so much @veritasium for making this video. i'm a phd student in india currently and led materials was my master's thesis project. i read so much about this from an academic perspective, but the way you presented it as a story, personal and academic, is truly brilliant and heartwarming. prof nakamura is an inspiration for budding scientists across the world.  i'm sharing this video with all my colleagues and professors, and budding researchers as a story of inspiration and scientific genius. hats off to you for making this video. love from india.",True
@celestialpie3712,2024-02-25T09:16:17Z,3,"this man deserves more recognition, he is responsible for almost everything we take for granted today, and even after all that he’s still so humble",True
@SpiritHawk7,2024-02-25T05:37:34Z,20,"4:49 - 5:40 thank you so much for this easy to understand graphic about valence electrons. i took college physics classes over 10 years ago, so the topic is not unfamiliar to me, however watching this immediately reminded that i legitimately could never visualize this process until this moment right now.",True
@CorwinPatrick,2024-02-25T01:54:32Z,23,"i know it's easy to say now, 30 years later... but at the time of the blue led announcement of dr. nakamura's, i wouldn't shut up to my friends about how this would change everything in electronics, lighting, power consumption and many other fields. congrats on the nobel, dr. nakamura.",True
@emilyofjane,2024-02-25T01:17:16Z,27,"it’s insane how recent this revolution was, too. i remember as a kid in the 2000’s that leds were practically nonexistent; now they’re everywhere.",True
@rahulmrajbhara,2024-02-24T22:23:59Z,6,"what an amazing true story! i have always liked your work but the way you portrayed this message with the help of visualization makes it so easy to understand even for a layman. as a stem professional passionate about physics, i actually got goosebumps towards the end of this video. thanks for sharing this extraordinary accomplishment in science that has shaped the 21st century.",True
@BarryMJames-lv5un,2024-02-24T20:18:33Z,3,there are *so many untold heroes* out there which transformed the entire world without even being recognized. thank you _shuji nakamura_ ❤,True
@sumeetsahu578,2024-02-24T19:29:13Z,2,welcome to semiconductor basics class 😂❤,True
@buzzvuzz,2024-02-24T19:04:11Z,4,"i don't want to belittle the current age scientists and innovators, the stuff they have to do to push science forward is beyond my comprehension, but when i see these types of videos of literally 1 person + few others push fundamentals and create seemingly impossible at the time things out of thin air - it's like heroic, promethean tasks of singular focus and dedication to something that almost everyone says won't work and can't work and 1 dude, literally, smoking a cigarette (because past) in one pull, yeeting the butt and saying ""i'll do it"" and actually doing it. for chrissakes, the guy had a literal reactor of his own to experiment and push the world forward. scientists and innovators that push the needle are unsung heroes and legends of all eras.",True
@raxidaydreams,2024-02-24T18:31:25Z,3,"kudos to this scientist, his will and courage is so admirable",True
@TOrvash,2024-02-24T18:12:29Z,2,i want to have the level of determination and work ethic this man had.,True
@Nasap968,2024-02-24T11:14:30Z,6,"""i must admit, i am unaware of dr. nakamura's struggles to provide us with blue led light. i was deeply touched by his unwavering perseverance and determination. dr. nakamura, thank you for your dedication, and i hope you continue to enjoy good health."" thank you very much for ""veritasium"" for providing us this video about an unsung man's greatness. keep up the excellent work.",True
@architanaik1420,2024-02-24T07:52:41Z,3,wow this almost brought tears..this is such beautiful insipiring story and the science behind it was also so interesting ..i was watching in awe the whole time.. and the way derek explains it is just amazing.thankyou so much veritasium for telling us sir shuji nakamura's story. his dedication and contribution to the world is just unimaginable.hats off to him and may god bless him .,True
@mechamax7919,2024-02-24T05:27:25Z,5,"a modern invention that changed the world as we know it, and will continue doing so for years to come! thank you nakamura for never giving up and creating a new way to light the world!",True
@Matthew_Klepadlo,2024-02-24T01:26:42Z,3,nakamura: this man is literally the light of the world. wow.,True
@rosmanpositivo,2024-02-24T00:35:25Z,12,thank you for telling his story. shuji nakamura deserves more yet he seems okay with how everything turns out. such a great person!,True
@daucuscarota6602,2024-02-24T00:31:01Z,3,"this man truly deserved the nobel prize. such a determination, against all odds. that's really amazing.",True
@volvodoc01,2024-02-23T23:23:19Z,2,"this great man didn’t give up… didn’t care what others said he couldn’t do (tell me i can’t do something…. i’ll say bet)… he had a vision, and had no problem grinding to get there like that of a chad! my deepest respect!",True
@michaelmcmorris1482,2024-02-23T22:32:38Z,135,"this is a great video. the two other nobel laureates seem to have set the stage, but dr. nakamura's underdog tenacity was over the top. i hope he is now super well compensated and happy.",True
@kinyerainnoarnolds7281,2024-02-23T19:26:36Z,33,"thanks, nakamura, rgb wouldn't be possible without your hard work. good video. very informative.",True
@charliegoulding2182,2024-02-23T18:15:54Z,4,one of your best to date.  great detail.,True
@ceegee8320,2024-02-23T17:43:24Z,2,fick the craprate structure,True
@Ralnon,2024-02-23T17:42:24Z,2,"phds looked down on him; yeah, academia is snobby as hell - now tell me the fact he was japanese comes into it as well: because i just bet it did.",True
@user-ey5dw9ms7n,2024-02-23T16:27:17Z,2,"so problem in this story reveals a bigger problem of the whole academic world... nobody thinks for themselves, theyr limited by equipment they cannot change, they hide behind phds wich means very little, sure its a indicator that your willing to research.. but research doesnt mean thinking yourself :d",True
@danielmorton5165,2024-02-23T15:46:47Z,2,"just want to compliment the graphics about band gap, valence layer, etc.  i saved this link, those were the clearest explanations i have ever seen for how conductors and such work, kudos!",True
@atharvkushwaha2511,2024-02-23T11:55:18Z,2,bro casuaally explained whole semiconducters chapter better thean my teacher,True
@usnairframer,2024-02-23T11:47:29Z,2,"not surprising he was treated poorly in america. the elitism from phd's and others in america has always been ridiculous. today, he would have been shunned and treated like a conspiracy theorist if he did the same thing.",True
@pliploplop,2024-02-23T11:42:00Z,616,"as a former physicist, your videos are so good because animations provide a very clear non-verbose description of my physics courses. electrons don't orbit in circles around the nucleus, holes vacancy is beautifully composited with electron movement, ... these animations are worth a lot of words. thank you for sharing your videos on youtube for free. i'll now watch them again with my kid to explain how leds work. every video you make makes me want to share it. thanks.",True
@asterozoan,2024-02-23T09:09:26Z,4,i love how you share the real human stories behind science. this is both heart-warming and inspiring.,True
@nkanakaraj,2024-02-23T08:02:49Z,17,"wow! very inspiring story! one of my friend told me very very long back that invention of blue led was very tough. i never bothered to ask or continue to check why it was tough to make. after watching this amazing video, i truly understand….  most important piece i liked from this video is “this great invention of mr.nakamura is not about his knowledge but his determination, critical-thinking & problem-solving”",True
@LasseRafnDk,2024-02-23T06:02:08Z,2,they should’ve granted him 1-2% stock options..,True
@Markinlondon,2024-02-23T02:52:45Z,199,as an electrical engineer  this guy is my hero  he changed the whole world,True
@joeyjamison5772,2024-02-23T02:14:45Z,2,"when i first came across this, i thought ""oh, brother, 33 minutes to tell how they made a blue led?"" and figured it probably bloated. but i then started watching and wound up staying for the entire presentation. rgb. what a discovery!",True
@ambygirl1008,2024-02-23T01:50:37Z,16,nakamura is a treasure to humanity. thank you so much sir!,True
@dasboot5903,2024-02-23T01:31:46Z,390,"*personally for me ........ this japanese gentleman and a pure scientist, mr. nakamura, is a perfect example of the hard working person and determination in development and creation.  i pay a great respect for him !!!!*    amen.",True
@therach7841,2024-02-23T00:39:12Z,10,so inspiring. i was tired after coming home from work but suddenly i have a burst of energy.,True
@derespektan3980,2024-02-23T00:35:22Z,5,this story needs a movie.,True
@DonBelial,2024-02-23T00:33:51Z,2,"off topic, but the story shows how invetions like this would be impossible in communism",True
@kjamison5951,2024-02-22T23:56:37Z,6,he deserved that nobel prize when  you consider the work he undertook to refine the mocvd apparatus.  i wish him success in his current and future projects. i would like him to win another nobel prize.,True
@PisceIncarnate,2024-02-22T23:51:55Z,26,nakamura is a straight up rockstar! this was so amazing i almost cried.,True
@spacechannelfiver,2024-02-22T23:49:42Z,54,"i remember when these came out, it was a couple of years after studying electronic engineering and we only had red or green leds when building things. this work enabled so much.",True
@TheDreamFx,2024-02-22T22:40:25Z,54,i loved how you first explained how the leds work and the difficulty in manufaturing were and then catching up to the present day. such a great story!,True
@chickensandwich576,2024-02-22T21:29:13Z,2,isnt red harder? you need reverse cursed energy to pull it of,True
@hajonnut,2024-02-22T21:22:56Z,98,"man, he is such a humble guy for being one of the biggest factors in so many revolutions of modern tech, even at this point he focuses all of his mojo into new tech! all you can do is feel inspired!",True
@guuslohlefink378,2024-02-22T21:12:05Z,1028,"finally an extensive video on nakamura and his invention. he deserves it! this was a real revolution (which took years and years of research), with an enormous impact. a nobel prize is nice, but it's better when people really understand the importance of what he did.",True
@michealmorrow1481,2024-02-22T21:05:40Z,3,your presentations are always good but this one was especially informative and entertaining.  thank you.,True
@hafeezzuberi6526,2024-02-22T20:34:14Z,3,8 milloon for legal fees  all lawyers are thieves.     evil most cases,True
@scholasticendeavor,2024-02-22T18:59:31Z,8,i love how in-depth this is.,True
@N_O_L_L_AsnipercatXx,2024-02-22T13:22:25Z,2,"""where others saw dead-ends, he (nakamura) saw potential solutions.""  thank you and all your colleagues for many many years of hard work, dr. nakamura!",True
@cajunrangers,2024-02-22T10:58:44Z,3,truly facinating. did electronics at college in scotland in the mid eighties(85/88) and always remembered being told - by an ex-sony engineer/lecturer - of this holy grail the blue l.e.d. and how we would never have a white light. look at the l.e.d. market now.,True
@haroldiwuala6900,2024-02-22T06:25:25Z,13,"this helped me understand the band gap theory and its relation to insulators, semiconductors, and metallic solids. had some trouble understanding it in my pchem ii class. i love that you also went over n and p doping for silicon.",True
@raykd2ibp198,2024-02-22T04:30:50Z,3,all of your work is very comprehensive. keep going forward. good stuff.,True
@arianamauery9281,2024-02-22T02:35:17Z,7,i remember reading about the development of the blue led in an example essay when i took the sat. it’s good to learn about it in more depth!,True
@JefferySchimes0310,2024-02-22T00:43:17Z,4,i wanted to check out brilliant that was mentioned at the end of the video so i clicked on the video description and i was blown away by the amount of source material. i can't wait to check out more videos.,True
@aditib6419,2024-02-22T00:34:57Z,2,applause!!  got goosebumps watching this video. researchers deserve more recognition and compensation. great storytelling!,True
@uero-ro,2024-02-21T23:14:43Z,124,"the whole sequence from 23:40 onwards had me on the edge of my seat. we had been following this story, step by step for each of its challenges and prerequisites. the animations did a stellar job of keeping the audience engaged as the music built up the tension until the final release when we see the finished anatomy of the blue led--panning out to this beautiful radiant blue light held in nakamura's hands. in a way, his story reminds me of thomas edison's story, and it carries a similar weight and carries the torch in modernizing how we illuminate the world.   thank you for the outstanding video, veritasium, and thank you dr. nakamura for inventing the blue led.",True
@PhilReynoldsLondonGeek,2024-02-21T21:39:02Z,3,stubbornness is a strength. i defied my sister's instructions when reversing her trailer tent once - and succeeded where her instruction would have failed. the blue led was needed but very difficult. we must never forget shuji nakamura for his defiance.,True
@Makrangoncias,2024-02-21T20:08:18Z,13,as dull as the premise sounded it was a fascinating watch! thanks for making this video!,True
@Blindspoon709,2024-02-21T18:44:14Z,2,the end pissed me off so much,True
@Rolocky,2024-02-21T18:42:10Z,3,no idea what he’s talking about but i’m enjoying it 🗣️🗣️,True
@lloydtordecillas1497,2024-02-21T18:25:11Z,15,this is one of your best episodes! i never thought a science documentary be uplifting and motivational! the story can be made into a hollywood movie!,True
@Chris28mmz,2024-02-21T18:05:33Z,2,thank you for this video. what an amazing story about shuji nakamura. the blue led is my favorite! i can't wait to see what else shuji nakamura invents.,True
@ShivSagar010,2024-02-21T14:44:13Z,2,thank you very much for sharing this great story. 🙏🙂💛,True
@Apropoetic,2024-02-21T13:24:57Z,121,nakamura seems so humble. it's so sad how he was treated by a company he was so loyal to after working tirelessly to overcome all the odds. the man was never properly compensated for his work but the only time he asked for more was when they tried to take everything away when all he wanted to do was move on. he even tried to settle their differences and they refused. i imagine his old boss must have passed or something because i don't imagine him letting his son in law treat nakamura that way.,True
@GOODNIGHT95,2024-02-21T09:37:37Z,3,i'm  definitely gonna write an article about this. the world needs to know about this great man.,True
@missbloodymary7403,2024-02-21T08:29:00Z,2,japanese companies are most thankless one to their workers,True
@timthomas9105,2024-02-21T05:43:58Z,14,"when i bought my second house in 2013, several bulbs needed immediate replacement. the electric bill dropped from 350 to 330. over the next couple years i went all led, whether in a lamp or installed inside or outside the house. the total electric bill dropped to 220-240 a month.  the clean light design, in strips and dc fixtures, allowed me to place 45 degree light boxes facing the wall above the cabinets with 12v units used in boats and mobile homes. and led strips inside the cabinets with door switches.",True
@user-ss6zp6du8i,2024-02-21T03:15:56Z,3,thank you dude. who would have thought something that we take for granted is so complex and took so much effort. the production quality is the best ever,True
@jmac8092,2024-02-20T23:57:39Z,2,"brings back memories of bed, basic electronics / malvino et all.",True
@NuttyRedBaBonkerz,2024-02-20T18:42:50Z,13,"i'm so proud of this man!!! never heard of him before, but that moment when he got it made me smile hugely",True
@m47h4r,2024-02-20T18:01:59Z,368,the best part of this is he voluntarily put in 100% effort (imagine only new year holiday off in a year) and now he doesn't resent over he didn't make billions. he's happy making a difference and actually being an amazing useful person. i have such enormous respect for him that i can't express in so many words.,True
@avgpiece,2024-02-20T17:26:42Z,6,"it's incredibly inspiring and uplifting to know that legendary inventors, like dr. nakamura, still exist. we are often left thinking that humanity has invented almost everything at this point, especially in a risk-fearing world where profits are paramount, but this video clearly emphasises thats just a closed-minded fool's point of view. thank you.",True
@michaelhendershot6383,2024-02-20T16:46:34Z,137,"this is an example of 1 person truly changing the world in a way that may have never occurred without them; certainly, it would have been delayed years, even decades.   i hope he’s happy in a rewarding way, it appears so with him not resting on his laurels and continuing his work in his life’s passion",True
@bobo0202,2024-02-20T16:34:02Z,113,this might be the best documentary i have ever seen. amazing story of ingenuity and perseverance,True
@charles1513,2024-02-20T15:31:37Z,511,"""where others saw dead-ends, he (nakamura) saw potential solutions.""  thank you and all your colleagues for many many years of hard work, dr. nakamura!",True
@Break.,2024-02-20T13:11:51Z,3,it would've been good if you made that explanation of diodes before i finished engineering,True
@user-ii6ux8in4m,2024-02-20T12:43:56Z,2,"nichia's eiji, unlike his father in law, nobuo, is just a business man with no passion in science. he's just took over the company and to eiji, it should be a money making machine. unlike nobuo, eiji never had ambition in the company's field, not to mention the guts to do something really new, but just wanted to make more money. and this is just typical story that shows how company changes or lose their greatness with single mistake of putting a wrong man in the chair. eiji was such a shallow man that even after nakamura won nobel prize and tried shake hands, he turned it down.",True
@macsentiffany618,2024-02-20T11:55:20Z,4,"i'm doing my physics undergrad dissertation about the negative effects of high doping densities on solar cell efficiency, for anyone who doesn't know solar cell physics is 90% semiconductors, i have read textbooks and dozens of papers, and this video is the best thing i've seen to give an intuitive understanding of how semiconductors and the p-n junction allow charge to flow. a great follow up to this video would be the photovoltaic cell, super interesting and not particularly difficult to wrap your head around the basic ideas.",True
@Notapizzathief,2024-02-20T11:01:37Z,2,"capitalism, man. you do the work and the boss man makes the money",True
@ravikanthb3725,2024-02-20T10:49:43Z,396,"dude you ridiculously simplify the complex concepts of universe, recently electronics. your conceptualization and presentation is unmatched. videos of this channel serve a docu series to many curious souls. some of your videos go down with me forever!! thank you very much for the efforts of you and your team. please don't stop making such videos, spread the knowledge, keep motivating and exciting everyone. love from india",True
@charanmaddhali9372,2024-02-20T10:12:30Z,6,i was struggling to understand this concept taught in our college ( about working of zener diodes and other diodes ) u made it so easy to understand,True
@JiYunNam,2024-02-20T10:09:51Z,3,"got an engineering diploma in semiconductor 15 years ago, which i never used and all that knowledge fell into abyss. i cannot thank you enough to bring all of this back. sweet memories.",True
@lyricsassam,2024-02-20T05:18:52Z,34,"brought a tear to my eye, such an inspiring story. thank you dr. nakamura, and thank you derek(veritasium).",True
@AbelitoOfficial,2024-02-20T04:48:17Z,4,did i really just watch 30 mins of the history of blue light and yet being hyperfocus throughout the whole video without yawning or getting bored? incredible content!!!!,True
@ClubPenguintym,2024-02-20T04:08:57Z,7,"i gotta say, every vid on this channel is great, but the historical ones are where it's at for me. they dive into everyday stuff and shine a light on the unsung heroes behind 'em, who often don't get the credit they deserve.",True
@barrycalvert1009,2024-02-20T02:07:48Z,15,"as many others have said, this came up in my feed a couple times before i chose to watch it. and as they also said, i am glad i did.  one thing for derek, it looks like one of your cameras is missing a couple pixels. see at 28:03, there are two white pixels, one in his ear and the other at ear level well off to the left of the screen in the dark area. you may have noticed it as well and can see if the camera can be repaired.  again, great content, as always.",True
@pieeater108,2024-02-20T02:05:08Z,323,29:32 his modesty is so sweet 😭😭 he deserves all congratulations he is given!,True
@nik_evdokimov,2024-02-19T23:40:48Z,2,what an impressive life story and such a insanely important invention! thanks for sharing his work and by that giving more recognition to what he has invented!,True
@emilianol203,2024-02-19T21:49:25Z,6,"what a story! not only because of the life story, but the science history too. thanks derek for bringing it and for being always so professional in your videos!",True
@TreLINER,2024-02-19T21:38:27Z,2,came here to watch a few minutes due to curiosity…stayed the whole time to take in as much information. fascinating,True
@eallen8550,2024-02-19T21:11:14Z,63,"i can see why this video keeps appearing everywhere! this guy is the ultimate goat: grind, optimise, automate, thrive! glad he's now getting the widespread recognition he deserves (not to mention the nobel prize of course).",True
@AzharKhan-ur5ru,2024-02-19T18:37:29Z,12,"i have cybersecurity exam tomorrow and i watched half hour documentary on invention of almost impossible blue led. i don't even study electronics, physics or chemistry. i guess because this video was very informative, inspirational and more entertaining than movies nowadays.",True
@mnrabs,2024-02-19T17:12:47Z,19,"just from a video i can see how humble of a human he is, we owe him for what he did.",True
@RossYoungblood,2024-02-19T16:51:06Z,6,wow... this is one of the most incredible stories i have seen. thanks so much!,True
@tizwah,2024-02-19T16:04:39Z,10,"this is easily one of the best success stories i heard you tell on your channel. great job, thank you!",True
@alkimball8920,2024-02-19T15:38:09Z,93,"from 1988 to 1990 i worked on a masters thesis at the university of utah in the quest for blue led light. we were growing algainp layers using omvpe reactors located in our hedco laboratory at the college of engineering.  we relied on strained lattice growth on many test samples.  i still have many of the samples i tested in our laser lab using photoluminescence (pl) and photoreflectance  (pr) measurements.  i co-authored a few papers published in the journal of applied physics on the subject.  we had another research scientist who was creating less coherent blue light using sic samples.  yeah, i remember those times like yesterday.  great video and quite accurate.  my graduate instructor was dr. gerald stringfellow.",True
@MusicallyQ,2024-02-19T15:34:56Z,6,"*yes, it's a testament to his resilience and determination.*  *his journey serves as a reminder that sometimes setbacks can lead to even greater opportunities.*",True
@supertron6039,2024-02-19T12:00:51Z,554,this is the most painstaking amount of work a scientist has spent on something that changed the world and then no one knows about the man or his contribution... so glad that i watched this video. this man brought color to the world. the very screens on which we are watching this content wouldn't have been possible without him or his work.,True
@micahphilson,2024-02-19T08:19:13Z,44,"after learning about semiconductor p and n types for 2 years, this video explains them both so much better in well under 10 minutes than multiple years of engineering training by explaining why they physically, atomically work!",True
@ChrisSadler23,2024-02-19T07:12:34Z,3,what an amazing video. real life example of why none of us should ever give up. thank you.,True
@drob8220,2024-02-19T07:12:06Z,2,damn this guy just casually started a nuclear fusion company... what an legendary inventor,True
@math_is_the_language_of_god,2024-02-19T07:11:06Z,4,wow you just revised semiconductor chapter of my class 12 standard through visualisation.. thank you sir,True
@SamundraDarion,2024-02-19T05:42:50Z,133,0:47 incredible! blurring the focus to show the mixed colours!,True
@sihTdaeRtnaCuoY,2024-02-18T23:36:53Z,791,"this guy is awesome. he wasn't just doing some cutting edge research and happened to figure something out that lead to massive changes. he was specifically targeting a certain technology, going head to head with everyone else on earth, and achieved his goal, which lead to his technology being used across the entire planet. what a legacy.",True
@kendonshirley6697,2024-02-18T22:34:47Z,3,"what an absolutely brilliant video! an inspiration to thinking differently than others, and determination to keep going when times are tough. really well presented and interviewed!",True
@adamanderson1979,2024-02-18T20:32:25Z,5,frankly this was the best diagram and lesson on conductivity i have ever seen,True
@Julfengar,2024-02-18T19:07:26Z,15,i never in my life would have thought i’d be so interested in the history of the blue led,True
@FIGP1,2024-02-18T19:03:35Z,2,"as an msc student in photonics, this video is brilliant!",True
@zeemans25,2024-02-18T18:49:45Z,2,what a wonderful video! couldn't help but shed a joyful tear halfway through!  some dedication to achieve what he did !!,True
@user-wk9my6kg8d,2024-02-18T18:18:22Z,3,thanks very much mr. nakamura        ...         wow,True
@im_pseudo,2024-02-18T17:53:43Z,3,"im from india, aspirant of iit/aiims  i grasped infos about semiconductors more powerfully by watching this video. thanks for making my marks in my general exam btw, cuz its the basic to basics in indian educational system",True
@gerdlunau8411,2024-02-18T17:32:00Z,316,"being a germany electric engineer myself, i have been working a life-long for a machinery building company all over the world including japan and the usa, i liked this video tremendously. very nice explanation of the semiconductor principle. having installed so many high-vacuum machinery of very different types myself i can imagine the tinkering, endless adapting of and experimenting with those crude test machines.  mr. nakamura as an engineer is certainly the perfect mix of a practical hands-on technician and deep theoretical thinker and inventor. my deepest respect, sir!  great story of beating the odds!  peace! from dresden / germany",True
@user-ju9hk2fu1h,2024-02-18T17:23:29Z,2,why is this video getting heavily recommend 🤔,True
@christianhorner001,2024-02-18T13:53:30Z,2,this is a proper high quality educational film. well done derk and team! 👏👏👏,True
@Violet-sc9ux,2024-02-18T10:08:22Z,102,"to see the actual guy himself that did this is just absolutely crazy, i wish i could have been there to celebrate, he really seems like an awesome guy. i'm so happy for him",True
@ezzNeRF,2024-02-18T09:54:46Z,6,"4:07 the best explaination to date i have had about semiconductors working 😍 , so nice",True
@ashwanishahrawat4607,2024-02-18T09:33:37Z,3,"not just from a historical perspective, this was also a great video for explanation of led in general. great presentation. thank you very much team",True
@michaelramstad2122,2024-02-18T06:09:35Z,2,i like how you made the ending background a dock for nakamura.,True
@jeffsamin7855,2024-02-18T05:56:41Z,4,this is one of the most fascinating and informative videos i have ever watched on youtube. there should be more of these about brilliant people like dr. nakamura. i'm sure you have lots and i will be looking for them. domo arigato gozaimasu nakamura san.,True
@Satherian,2024-02-18T05:02:17Z,1151,"""and this is because of you""  i'm honestly glad you said that - i feel like nakamura doesn't get enough credit for (and might downplay) how much of a part he's played in modern technology",True
@PerChristianFrankplads,2024-02-18T04:50:55Z,3,"such a wonderful character, and a great portrayal of his journey and determination. thank you!",True
@tommyguunn,2024-02-18T04:00:09Z,330,thank you dude. who would have thought something that we take for granted is so complex and took so much effort. the production quality is the best ever.,True
@brilliant_stories,2024-02-18T03:47:54Z,3,that’s so crazy. blue leds are the only reason we can watch this today.,True
@YvesBelliveau,2024-02-18T03:45:03Z,2,bro! i love you guys,True
@BicOlive77,2024-02-18T03:16:37Z,17,thank you dr. nakamura 💯,True
@LondongirlMaryam,2024-02-18T02:59:06Z,2,very interesting. thanks for this,True
@Noodlyk18,2024-02-18T01:42:11Z,44,"the number of technological and scientific leaps that were born out of one person's spite after they were told they couldn't do something is a lot higher than you think. i love it. really inspiring story, what a man. he obviously was very intelligent, but so were the other people working on this, the one thing he had that they didn't was just sheer tenacity and confidence. makes you wonder how many people gave up just before they were about to accomplish their goal.",True
