author,updated_at,like_count,text,public
@micahsheller101,2017-11-06T17:41:03Z,4,"beautiful work! reminds me of my late father who was a math professor: he had the same gentle, happy style, and believed heartily in making math a safe place for everyone to learn and have fun. gonna make me tear up :)",True
@antopolskiy,2017-11-06T17:30:08Z,3,this is sooooo useful. thank you so much for breaking it down so great. i feel like i have a full picture in my head now.,True
@Jabrils,2017-11-06T12:27:51Z,748,youre a deity grant,True
@ehsanmon,2017-11-05T21:49:00Z,6,"thank you so much, grant. i finally learned back prop, and i have become a patron. i wish i could do more.",True
@kimtheass1,2017-11-05T13:42:12Z,3,you videos have such informative and well explained content with an amazingly calm and including tone! i'm a fan,True
@GaborGyebnar,2017-11-05T13:13:55Z,80,"awesome material. :) please make a video about convolutional neural networks, too.",True
@PhilippeCarphin,2017-11-04T21:25:17Z,378,"this series is insanely good.  as a teacher, i feel like salieri watching mozart play and being like ""it's so beautiful, how is he so good!""",True
@NicolasSchmidMusic,2017-11-04T15:45:05Z,2,"please keep on doing videos about that topic, you‘ve realy opened my eyes on an amazing univer which is the neural network and deep learning",True
@Erioch,2017-11-04T13:42:44Z,4,"honestly, this is one of the best (if not the best) channel on mathematics/science education i have seen. intuitive but not oversimplified. thank you so much that for offering your spectacular work and you help so many people understand these concepts.",True
@annemarieenpieterbresters-3876,2017-11-04T11:19:24Z,3,"this must have taken so much time, i was able to just understand it now (after using my whole evening yesterday)",True
@nagoshi01,2017-11-04T09:49:38Z,4,what function is he saying at 2:00? he says sigmoid and then something that i don't know how to spell to look up,True
@JM-us3fr,2017-11-04T04:39:26Z,2,i can't believe i subscribed to you 2 years ago!  (with a different account) and i've never regretted it :d,True
@jamiepeters846,2017-11-04T03:45:09Z,2,you truly have a gift for teaching in a clear and concise manor! thanks for the great vid!,True
@TheZenytram,2017-11-04T02:14:14Z,4,wow i thought that the math behind it would be waaayy more complicated. i know that this video has a lot information to digest but it's not complicated.,True
@sergiokorochinsky49,2017-11-04T02:03:59Z,266,"i just unsubscribed to this channel, so i can have the pleasure of subscribing again.",True
@kangChihLun,2017-11-03T23:19:42Z,298,this is the best and clearest explanation in all bp course i could find !  沒有之一！,True
@NitinNataraj-gf3vx,2017-11-03T22:54:27Z,252,netflix can show these rather than some other questionable material.,True
@giron716,2017-11-03T22:52:16Z,6,"i seriously have a hard time explaining how much i appreciate this video. i am far and away a symbolic thinker, as opposed to a geometric one, and while i love all of your videos and how intuitive you make the concepts, it's sometimes hard for me to think about the geometry. i am much more comfortable working with symbols and that's why i treasure videos like this. thank you :)",True
@AbhishekKumar-bo1yi,2017-11-03T22:21:46Z,8,"i always feel, if u have a mentor who can break complex things into simple stuff so beautifully, even a dumb guy can grasp the concept. keep doing the good stuff. admirer++",True
@jeromebruzaud3995,2017-11-03T20:53:28Z,3,awesome video as always. i'm actually a bit sad it marks the end of your video series on deep learning :(. give us more ! :d,True
@MeriaDuck,2017-11-03T20:04:03Z,3,"after seeing a few pieces of books, descriptions on the internet about back propagation, with this video i finally reached some kind of enlightenment (especially at about 4:50 into this video). thank you so much for that!  just as a hobby, i was trying to implement a neural network from scratch in java: plain objects for neurons, connections and layers.  i wanted to really visualize how a neural network works. (visualize either as computer code, but maybe i even want to create some visual for it...) this will certainly help me on my way!",True
@jannegrey593,2017-11-03T19:41:39Z,2,"i'm going to be frank. i love your videos, the're simple and understandable. but with neural network i feel like a moron. still, thank you for those videos, and i hope that in a couple of weeks there will be another one.",True
@iau,2017-11-03T18:28:07Z,36,"is it wrong to use a programming-like notation for vectors and matrices (a[l, n], or for example a[3, 5] for the activation of neuron 5 of layer 3) inside mathematical notation, instead of using subscripts and superscripts?  i ask because i usually get confused thinking superscript indices are exponents and subscript indices are variations or alternatives, instead of the next one in a sequence.  i ask because i find the notation x[t] as the t-th element of sequence x much more intuitive than x_t.",True
@hiqwertyhi,2017-11-03T18:10:56Z,887,"it's not that no-one else makes top-notch math/cs videos, it's that this guy makes it click.",True
@Ensorcle,2017-11-03T18:07:43Z,69,i cannot tell you how much i appreciate these videos. i don't have a strong math background (english undergrad) but i'm teaching myself data science. it really helps to have the equations explained rather than just presented and to tie the components of the equation back to intuitions. thank you thank you thank you.,True
@Abstruct,2017-11-03T17:37:14Z,51,"this stuff is an amazing supplication to andrew ng's courses, it gives a lot more intuition and visual understandings of the formulas.",True
@rahul7270,2017-11-03T17:08:33Z,2,nothing's better than 3b1b releasing two videos at once. yay!,True
@borismilenski4759,2017-11-03T16:27:54Z,2,i'm so glad i took an extra course in math  which gave me the basics of calculus and pointed me to this channel. it makes sense!,True
@suharsh96,2017-11-03T16:23:25Z,380,"this is the longest 10 minute video i have ever watched. literally took me half an hour, but the feeling of the idea behind this completely settling in , makes it totally worth it!",True
@4AneR,2017-11-03T16:13:19Z,82,"what an art of math, jesus christ",True
@aravindkannan9490,2017-11-03T15:39:27Z,26,this is by far the best video i have ever seen in neural networks. thanks for this! :),True
@antoniobernardo9884,2017-11-03T15:31:44Z,531,this is easily the best channel in youtube today! once i get a job i will more than glad to support you!,True
@sjgmc,2017-11-03T15:23:57Z,6,"as an hobbyist programmer, i can't thank you enough! once i finish my studies i will donate to you. :)",True
@notbobbobby,2017-11-03T15:23:20Z,7,"right now, i am so thankful for having taken vector calculus and several numerical approximation courses. this was an awesome video to watch. thanks! :)",True
@vadimborisov4824,2017-11-03T15:13:48Z,3,thank you for the appendix!!!!!!!!!,True
@lagduck2209,2017-11-03T14:58:56Z,194,"*looking at thumbnail oh sh~, im never going to understand that complex stuff. probably should watch it anyway *ten minutes later whoa! that's actually quite clear now!",True
@saptarshimitra1267,2017-11-03T14:54:25Z,620,amazing man..... i say 3gold1platinum,True
@poundcake2000,2017-11-03T14:51:52Z,106,"grant, i've been thinking about these videos and i have a couple questions.... last time you fed a nonsense, scrambled image through the network, and it confidently identified it as a 5.  my question is two fold:  1) would any value be added to the network by adding a final neuron that indicates ""no number"" or ""not anything identifiable"" or ""throw this image in the trash can""?  maybe that way the network would sort those trash-type images into a pile for, perhaps, a human to look at.  2) is there any benefit to training your network to get the right answer, but be less confident about it?  you keep mentioning that we want the network to identify a ""2"" as a ""2"" and the goal is a final neuron to light up the ""2"" at 100% (and everything else at 0%).  does this extreme goal perhaps cause really confident misclassifications sometimes (besides the junk image from last video)?  would it be in any way beneficial to train the network to see a ""2"", but perhaps to only be 90% confident about it?  maybe it would *think* it saw a 2, but it's not totally sure - like a young child learning numbers.  (but, being 90% a 2, is still a 2.)  would this help at all with the junk images from the previous question / video?  also, maybe since we train the network to not be so confident all the time, could we then put any image that falls below, say, 75% confidence into another bin for humans to verify?  also, on bb&b you mentioned that it can sometimes feel like too much pressure when people say ""yeah, good video, i can't wait for the next one!""  well, i'll instead say, thanks for this series, and i'll patiently await the next video as you take your time to make it a high quality production like you always do - whenever that happens, i'm good.  no pressure!",True
@13thxenos,2017-11-03T14:45:03Z,13,"nicely done video.  i knew i learned backpropagation before, but it was hard, and i didn't use it manually ( i used frameworks like tensorflow which uses computational graphs and backpropagate automatically) so i've forgotten how it actually worked. but this video is a great resource for newcomers to anns and people like me that have forgotten the theory behind it all. thank you.",True
@SocialNomad,2017-11-03T14:31:00Z,5,how many chapters will there be in total?,True
@starrystarry6128,2017-11-03T14:27:59Z,117,"i'm understanding literally nothing, why am i watching this",True
@patelnirmal4726,2017-11-03T14:21:06Z,289,awesome channel,True
@3blue1brown,2017-11-03T14:20:15Z,1766,"two things worth adding here:   1) in other resources and in implementations, you'd typically see these formulas in some more compact vectorized form, which carries with it the extra mental burden to parse the hadamard product and to think through why the transpose of the weight matrix is used, but the underlying substance is all the same.  2) backpropagation is really one instance of a more general technique called ""reverse mode differentiation"" to compute derivatives of functions represented in some kind of directed graph form.",True
